Label,itemLabelheb,uri,count,equals
erudite person,מלומד,http://www.wikidata.org/entity/Q20826540,1186,Q20826540
Esperantist,אספרנטיסט,http://www.wikidata.org/entity/Q860918,5208,Q860918
estate owner,Q66495020,http://www.wikidata.org/entity/Q66495020,701,Q66495020
etcher,גלופאי,http://www.wikidata.org/entity/Q10862983,2177,Q10862983
ethnobotanist,Q32518759,http://www.wikidata.org/entity/Q32518759,97,Q32518759
eunuch,סריס,http://www.wikidata.org/entity/Q179294,220,Q179294
evolutionary biologist,ביולוג אבולוציוני,http://www.wikidata.org/entity/Q16063497,286,Q16063497
exorcist,מגרש שדים,http://www.wikidata.org/entity/Q2467532,57,Q2467532
expert,מומחה,http://www.wikidata.org/entity/Q381160,128,Q381160
explorer,חוקר ארצות,http://www.wikidata.org/entity/Q11900058,6887,Q11900058
factory worker,Q87285943,http://www.wikidata.org/entity/Q87285943,127,Q87285943
fantasy author,סופרת פנטזיה,http://www.wikidata.org/entity/Q5434338,65,Q5434338
farmer,חקלאי,http://www.wikidata.org/entity/Q131512,15050,Q131512
fashion designer,מעצב אופנה,http://www.wikidata.org/entity/Q3501317,4054,Q3501317
fencer,סייף,http://www.wikidata.org/entity/Q13381863,6156,Q13381863
fencing master,Q1519593,http://www.wikidata.org/entity/Q1519593,80,Q1519593
feudatory,פאודל,http://www.wikidata.org/entity/Q1409420,743,Q1409420
fiddler,נגן פידל,http://www.wikidata.org/entity/Q3560496,643,Q3560496
figure skating coach,Q57199189,http://www.wikidata.org/entity/Q57199189,723,Q57199189
film or television director,במאי קולנוע או טלוויזיה,http://www.wikidata.org/entity/Q6102247,63,Q6102247
financier,ממונאי,http://www.wikidata.org/entity/Q1979607,1272,Q1979607
fisher,דייג,http://www.wikidata.org/entity/Q331432,388,Q331432
florist,Q16735601,http://www.wikidata.org/entity/Q16735601,59,Q16735601
flutist,חלילן,http://www.wikidata.org/entity/Q12902372,1259,Q12902372
folk dancer,Q53869196,http://www.wikidata.org/entity/Q53869196,54,Q53869196
folk song collector,Q67775924,http://www.wikidata.org/entity/Q67775924,59,Q67775924
